task,kwargs,num_envs,lr,dmodel,nlayer,gamma,ent_coef,bs,episodic_reward.mean,episodic_reward.count,reward.mean
MultiArmedBandit,{},128,3e-05,8,2,0.99,0.1,512,0.935546875,128,0.0292816162109375
MoveToOrigin,{},128,3e-05,128,2,0.99,0.1,2048,0.9353264570236206,128,0.005158264189958572
MoveToOrigin,{},128,3e-05,128,2,0.99,0.1,512,0.9645848870277404,128,0.0031219173688441515
MoveToOrigin,{},128,3e-05,32,2,0.99,0.1,2048,0.3743143081665039,128,-0.0032266469206660986
MoveToOrigin,{},128,3e-05,32,2,0.99,0.1,512,0.874683141708374,128,-0.00023141002748161552
MoveToOrigin,{},128,3e-05,8,2,0.99,0.1,2048,-0.12517911195755005,128,-0.008988665416836739
MoveToOrigin,{},128,3e-05,8,2,0.99,0.1,512,0.2599794864654541,128,-0.0028211940079927444
Minefield,"{""max_mines"": 10}",128,3e-05,128,2,0.99,0.1,2048,0.1428571492433548,14,0.0009765625
Minefield,"{""max_mines"": 10}",128,3e-05,128,2,0.99,0.1,512,0.21052631735801697,19,0.001953125
Minefield,"{""max_mines"": 10}",128,3e-05,32,2,0.99,0.1,2048,0,7,0
Minefield,"{""max_mines"": 10}",128,3e-05,32,2,0.99,0.1,512,0.0833333358168602,12,0.00048828125
Minefield,"{""max_mines"": 10}",128,3e-05,8,2,0.99,0.1,2048,0,16,0
Minefield,"{""max_mines"": 10}",128,3e-05,8,2,0.99,0.1,512,0,7,0
Procgen:Leaper,{},128,3e-05,128,2,0.99,0.1,2048,2.592592477798462,27,0.0341796875
Procgen:Leaper,{},128,3e-05,128,2,0.99,0.1,512,2.4137930870056152,29,0.0341796875
Procgen:Leaper,{},128,3e-05,32,2,0.99,0.1,2048,0,13,0
Procgen:Leaper,{},128,3e-05,32,2,0.99,0.1,512,2.9166667461395264,24,0.0341796875
Procgen:Leaper,{},128,3e-05,8,2,0.99,0.1,2048,0.9523809552192688,21,0.009765625
Procgen:Leaper,{},128,3e-05,8,2,0.99,0.1,512,0,16,0
FloorIsLava,{},128,3e-05,128,2,0.99,0.1,2048,0.1279296875,2048,0.1279296875
FloorIsLava,{},128,3e-05,128,2,0.99,0.1,512,0.17431640625,2048,0.17431640625
FloorIsLava,{},128,3e-05,32,2,0.99,0.1,2048,0.1259765625,2048,0.1259765625
FloorIsLava,{},128,3e-05,32,2,0.99,0.1,512,0.123046875,2048,0.123046875
FloorIsLava,{},128,3e-05,8,2,0.99,0.1,2048,0.11474609375,2048,0.11474609375
FloorIsLava,{},128,3e-05,8,2,0.99,0.1,512,0.12646484375,2048,0.12646484375
Count,"{""masked_choices"": 2}",128,3e-05,128,2,0.99,0.1,2048,1,2048,1
Count,"{""masked_choices"": 2}",128,3e-05,128,2,0.99,0.1,512,1,2048,1
Count,"{""masked_choices"": 2}",128,3e-05,32,2,0.99,0.1,2048,0.89599609375,2048,0.89599609375
Count,"{""masked_choices"": 2}",128,3e-05,32,2,0.99,0.1,512,1,2048,1
Count,"{""masked_choices"": 2}",128,3e-05,8,2,0.99,0.1,2048,0.76318359375,2048,0.76318359375
Count,"{""masked_choices"": 2}",128,3e-05,8,2,0.99,0.1,512,0.8798828125,2048,0.8798828125
CherryPick,"{""num_cherries"": 32}",128,3e-05,128,2,0.99,0.1,2048,0.8275250792503357,128,0.05172033607959747
CherryPick,"{""num_cherries"": 32}",128,3e-05,128,2,0.99,0.1,512,0.9707313179969788,128,0.060670703649520874
CherryPick,"{""num_cherries"": 32}",128,3e-05,32,2,0.99,0.1,2048,0.6544928550720215,128,0.04090580344200134
CherryPick,"{""num_cherries"": 32}",128,3e-05,32,2,0.99,0.1,512,0.8359474539756775,128,0.052246708422899246
CherryPick,"{""num_cherries"": 32}",128,3e-05,8,2,0.99,0.1,2048,-3.5152924060821533,128,-0.21970577538013455
CherryPick,"{""num_cherries"": 32}",128,3e-05,8,2,0.99,0.1,512,0.6569716930389404,128,0.04106069356203079
Procgen:BossFight,{},128,3e-05,128,2,0.99,0.1,2048,0,33,0.00048828125
Procgen:BossFight,{},128,3e-05,128,2,0.99,0.1,512,0.06451612710952759,31,0.0009765625
Procgen:BossFight,{},128,3e-05,32,2,0.99,0.1,2048,0,44,0
Procgen:BossFight,{},128,3e-05,32,2,0.99,0.1,512,0,30,0
Procgen:BossFight,{},128,3e-05,8,2,0.99,0.1,2048,0.020408162847161293,49,0
Procgen:BossFight,{},128,3e-05,8,2,0.99,0.1,512,0,43,0.00048828125
Procgen:BigFish,{},128,3e-05,128,2,0.99,0.1,2048,0,18,0.001953125
Procgen:BigFish,{},128,3e-05,128,2,0.99,0.1,512,0.10000000149011612,20,0.00146484375
Procgen:BigFish,{},128,3e-05,32,2,0.99,0.1,2048,0.0625,16,0.00244140625
Procgen:BigFish,{},128,3e-05,32,2,0.99,0.1,512,0.05882352963089943,17,0.00244140625
Procgen:BigFish,{},128,3e-05,8,2,0.99,0.1,2048,0.095238097012043,21,0.00048828125
Procgen:BigFish,{},128,3e-05,8,2,0.99,0.1,512,0.2631579041481018,19,0.00146484375
Xor,{},128,3e-05,128,2,0.99,0.3,2048,1,2048,1
Xor,{},128,3e-05,128,2,0.99,0.3,512,1,2048,1
Xor,{},128,3e-05,32,2,0.99,0.3,2048,0.48974609375,2048,0.48974609375
Xor,{},128,3e-05,32,2,0.99,0.3,512,0.49755859375,2048,0.49755859375
Xor,{},128,3e-05,8,2,0.99,0.3,2048,0.5048828125,2048,0.5048828125
Xor,{},128,3e-05,8,2,0.99,0.3,512,0.5048828125,2048,0.5048828125
Procgen:StarPilot,{},128,3e-05,128,2,0.99,0.3,2048,0.8928571343421936,28,0.00830078125
Procgen:StarPilot,{},128,3e-05,128,2,0.99,0.3,512,1,24,0.0146484375
Procgen:StarPilot,{},128,3e-05,32,2,0.99,0.3,2048,0.5625,32,0.0107421875
Procgen:StarPilot,{},128,3e-05,32,2,0.99,0.3,512,0.529411792755127,17,0.017578125
Procgen:StarPilot,{},128,3e-05,8,2,0.99,0.3,2048,0.6333333253860474,30,0.0068359375
Procgen:StarPilot,{},128,3e-05,8,2,0.99,0.3,512,1.7692307233810425,26,0.009765625
RockPaperScissors,{},128,3e-05,128,2,0.99,0.3,2048,0.9716796875,2048,0.9716796875
RockPaperScissors,{},128,3e-05,128,2,0.99,0.3,512,1.009765625,2048,1.009765625
RockPaperScissors,{},128,3e-05,32,2,0.99,0.3,2048,0.892578125,2048,0.892578125
RockPaperScissors,{},128,3e-05,32,2,0.99,0.3,512,0.8955078125,2048,0.8955078125
RockPaperScissors,{},128,3e-05,8,2,0.99,0.3,2048,0.71484375,2048,0.71484375
RockPaperScissors,{},128,3e-05,8,2,0.99,0.3,512,0.9375,2048,0.9375
Procgen:Plunder,{},128,3e-05,128,2,0.99,0.3,2048,8.333333015441895,3,0.0068359375
Procgen:Plunder,{},128,3e-05,128,2,0.99,0.3,512,5,10,0.00732421875
Procgen:Plunder,{},128,3e-05,32,2,0.99,0.3,2048,3.8333332538604736,6,0.00732421875
Procgen:Plunder,{},128,3e-05,32,2,0.99,0.3,512,3,7,0.01123046875
Procgen:Plunder,{},128,3e-05,8,2,0.99,0.3,2048,5.5,4,0.00830078125
Procgen:Plunder,{},128,3e-05,8,2,0.99,0.3,512,2.6666667461395264,3,0.00634765625
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,128,2,0.99,0.3,512,0.828353226184845,395,0.15976539254188538
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,128,2,0.99,0.3,2048,0.8417506814002991,378,0.15536218881607056
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,32,2,0.99,0.3,2048,0.3029622733592987,926,0.1369839310646057
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,32,2,0.99,0.3,512,0.562917172908783,559,0.15364781022071838
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,8,2,0.99,0.3,2048,0.3052331805229187,937,0.1396501511335373
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,8,2,0.99,0.3,512,0.28584229946136475,935,0.1304993033409119
NotHotdog,{},128,3e-05,128,2,0.99,0.3,2048,1,2048,1
NotHotdog,{},128,3e-05,128,2,0.99,0.3,512,1,2048,1
NotHotdog,{},128,3e-05,32,2,0.99,0.3,2048,0.99560546875,2048,0.99560546875
NotHotdog,{},128,3e-05,32,2,0.99,0.3,512,0.99951171875,2048,0.99951171875
NotHotdog,{},128,3e-05,8,2,0.99,0.3,2048,0.501953125,2048,0.501953125
NotHotdog,{},128,3e-05,8,2,0.99,0.3,512,0.98779296875,2048,0.98779296875
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,128,2,0.99,0.3,2048,0.008187134750187397,171,0.0006347656599245965
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,128,2,0.99,0.3,512,0.024857142940163612,175,0.002197265625
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,32,2,0.99,0.3,2048,0.004732510540634394,243,0.0006347657181322575
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,32,2,0.99,0.3,512,0.005213270429521799,211,0.0005615234840661287
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,8,2,0.99,0.3,2048,0.005065359640866518,306,0.0008056641090661287
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,8,2,0.99,0.3,512,0.005094339605420828,265,0.0006591796991415322
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",128,3e-05,128,2,0.99,0.3,2048,0.07887323945760727,71,0.003222656436264515
